Date,Open,High,Low,Close,Adj Close,Volume
19/10/2016,141.889999,144.429993,141.110001,143.979996,142.647079,43800
20/10/2016,143.279999,144.789993,142.649994,142.889999,141.567169,35700
21/10/2016,143.240005,143.339996,141.740005,143.160004,141.834671,29300
24/10/2016,144.550003,144.630005,143.179993,144.559998,143.221695,25900
25/10/2016,144.940002,145.910004,144.279999,145.339996,143.994476,27200
26/10/2016,145.789993,146.979996,144.080002,144.470001,143.379166,46800
27/10/2016,144.839996,145.039993,140.710007,141.559998,140.491119,103900
28/10/2016,141.520004,145.419998,141.520004,145.089996,143.994492,86800
31/10/2016,145.089996,145.089996,141.25,141.300003,140.233109,62500
1/11/2016,141.910004,142.919998,140.639999,141.410004,140.342285,35600
2/11/2016,140.940002,143.110001,140.139999,142.720001,141.642395,43900
3/11/2016,142.009995,142.199997,141,141.380005,140.312515,34300
4/11/2016,141.740005,142.5,140.089996,140.559998,139.498703,35500
7/11/2016,140.559998,141.490005,139.770004,140.369995,139.31012,57500
8/11/2016,139.100006,143.529999,139.100006,141.270004,140.203339,34300
9/11/2016,128,157.970001,125,157.809998,156.618454,254100
10/11/2016,155.839996,160.869995,153.940002,160.490005,159.278214,69000
11/11/2016,158.199997,169.580002,158.199997,167.479996,166.215408,83600
14/11/2016,167.5,168.100006,162.690002,164.979996,163.734283,67600
15/11/2016,165.220001,166.330002,162.869995,164.600006,163.357178,44400
16/11/2016,164.960007,165.869995,164.210007,165.320007,164.071747,27500
17/11/2016,164.639999,165.050003,162.970001,164.970001,163.72438,27100
18/11/2016,164.369995,166.119995,164.25,165.440002,164.190857,29600
21/11/2016,164.839996,165.759995,164.529999,164.899994,163.654907,23900
22/11/2016,165.139999,168.940002,164.589996,165.020004,163.774017,75000
23/11/2016,165.470001,168.550003,164.050003,164.729996,163.486191,27400
25/11/2016,165.020004,166.869995,163.639999,165.860001,164.607666,13800
28/11/2016,166.119995,167.440002,165.270004,166.149994,164.895477,31200
29/11/2016,166.860001,167.300003,163.300003,165.059998,163.813721,56300
30/11/2016,165.809998,166.460007,161.389999,161.779999,160.558472,39200
1/12/2016,161.529999,165.899994,157.860001,159.009995,157.809372,32700
2/12/2016,159.139999,162.320007,157.210007,157.619995,156.429886,19400
5/12/2016,157.779999,160.75,157.779999,160.020004,158.811768,28000
6/12/2016,160.479996,161.350006,159.270004,159.720001,158.514038,23600
7/12/2016,159.580002,162.059998,159.580002,162.029999,160.806595,51100
8/12/2016,161.779999,162.850006,160.399994,161.910004,160.687485,30900
9/12/2016,162.479996,167.539993,161.589996,167.149994,165.887924,67900
12/12/2016,166.970001,167.380005,165.220001,167.330002,166.066559,29600
13/12/2016,167.199997,168.240005,166.009995,167.160004,165.897873,32900
14/12/2016,166.779999,168.429993,165.520004,167.720001,166.453629,39500
15/12/2016,167.979996,172.410004,167.100006,171.660004,170.363876,33500
16/12/2016,172.869995,174.740005,171.169998,174.059998,172.745728,42800
19/12/2016,174.479996,175.570007,173.520004,173.600006,172.28923,27200
20/12/2016,173.009995,179.350006,173.009995,178.520004,177.172089,43700
21/12/2016,178.119995,179.410004,176.059998,177.210007,175.871979,33800
22/12/2016,176.270004,176.270004,172.660004,174.669998,173.351151,25500
23/12/2016,174,178.050003,174,177.559998,176.219315,18600
27/12/2016,178.309998,182.259995,178.009995,179.080002,177.727844,47300
28/12/2016,179.229996,180.059998,177.630005,178.699997,177.350723,24000
29/12/2016,177.800003,180.699997,177.800003,179.050003,177.698074,25700
30/12/2016,178.270004,179.899994,177.199997,178.850006,177.499588,30400
3/01/2017,178.720001,180.740005,174.600006,179.699997,178.34317,31500
4/01/2017,179.889999,181,176.070007,179.960007,178.601212,17500
5/01/2017,180.009995,181,178.009995,179.300003,177.946182,20800
6/01/2017,178.880005,179.600006,176.009995,177.210007,175.871979,21700
9/01/2017,177,177,172.300003,173.169998,171.862457,33000
10/01/2017,172.389999,173.009995,170.149994,171.729996,170.43335,27000
11/01/2017,171,171.080002,169.770004,170.919998,169.629456,20900
12/01/2017,170.520004,170.520004,168.369995,169.300003,168.021698,17000
13/01/2017,168.699997,170.139999,167.800003,170.100006,168.815643,24600
17/01/2017,169.160004,169.990005,166.050003,166.710007,165.451248,20800
18/01/2017,167.039993,168.25,165.600006,168,166.731506,18100
19/01/2017,167.169998,167.990005,166.279999,166.410004,165.153519,14000
20/01/2017,166.699997,168.059998,166.009995,166.639999,165.381775,14900
23/01/2017,166.270004,169.130005,166.210007,167.690002,166.423859,16600
24/01/2017,167.300003,170,167.300003,169.600006,168.319412,23600
25/01/2017,169.600006,170.270004,168.800003,169.350006,168.319427,32100
26/01/2017,168.529999,168.979996,165.889999,166.490005,165.476837,20900
27/01/2017,166.259995,166.960007,165.279999,165.910004,164.90036,14400
30/01/2017,165.100006,165.369995,162.979996,164.5,163.498947,16700
31/01/2017,164.089996,169.330002,162.309998,168.839996,167.812531,26100
1/02/2017,169.789993,169.820007,167.539993,168.220001,167.196304,27400
2/02/2017,168.800003,169.800003,168.679993,169.320007,168.289612,14600
3/02/2017,169.5,171.570007,169.5,171.160004,170.118423,18000
6/02/2017,170.949997,171.990005,170.630005,171.289993,170.24762,15300
7/02/2017,171.410004,173.479996,170.779999,172.339996,171.291245,26000
8/02/2017,183.979996,183.979996,171.759995,172.990005,171.937302,18500
9/02/2017,173.889999,178.479996,172.860001,176.399994,175.326538,31000
10/02/2017,177.300003,177.429993,174.830002,177,175.922882,10000
13/02/2017,176.5,176.919998,174.320007,176.5,175.425934,22200
14/02/2017,176.399994,176.410004,174.199997,174.279999,173.219437,13900
15/02/2017,174.399994,175.050003,174.070007,174.440002,173.378448,18300
16/02/2017,174.100006,175.119995,174.100006,175.089996,174.02449,10800
17/02/2017,175.529999,177.600006,175.529999,177.059998,175.982498,19600
21/02/2017,177.850006,181.270004,177.850006,181.089996,179.987991,32800
22/02/2017,180.729996,181.149994,178.830002,180.570007,179.471146,19300
23/02/2017,180.919998,181.229996,177.330002,180.839996,179.739517,18700
24/02/2017,179.800003,180.070007,176.440002,177.320007,176.240967,16700
27/02/2017,177.740005,178.279999,175.020004,176.399994,175.326538,30700
28/02/2017,176.690002,176.690002,171.5,172.070007,171.022888,29100
1/03/2017,172.600006,175.789993,172.600006,174.509995,173.448029,32600
2/03/2017,174.429993,174.75,173.070007,174.020004,172.961014,15200
3/03/2017,173.990005,174.820007,172.270004,174.289993,173.229355,18900
6/03/2017,173.800003,175.149994,173.160004,173.410004,172.354706,19000
7/03/2017,172.979996,175.960007,172.979996,174.550003,173.487778,16000
8/03/2017,174.559998,175.990005,172.190002,174.350006,173.289001,28300
9/03/2017,172.100006,179.570007,172,173,171.94722,40700
10/03/2017,174.229996,176.850006,171.320007,171.740005,170.694885,21900
13/03/2017,170.929993,173.320007,170.929993,171.220001,170.17804,23900
14/03/2017,179.490005,188.389999,178.5,186.5,185.365067,255800
15/03/2017,185.619995,191.600006,183.190002,189.039993,187.889603,929500
16/03/2017,188.759995,193.779999,188.759995,192.380005,191.20929,104700
17/03/2017,192.080002,195.740005,192.080002,194.029999,192.849243,120600
20/03/2017,194.270004,195.699997,192.639999,195.229996,194.041931,44900
21/03/2017,195.619995,198,194.5,195,193.813339,84000
22/03/2017,193.690002,196.699997,193.690002,195.830002,194.63829,64500
23/03/2017,195.050003,200.580002,195.050003,198.520004,197.31192,71800
24/03/2017,198.789993,198.899994,197.139999,197.279999,196.079453,32900
27/03/2017,196.199997,200.75,196,199.380005,198.166702,45000
28/03/2017,199.210007,202.429993,198.050003,202,200.770737,48600
29/03/2017,201.600006,202.899994,200.320007,202.259995,201.02916,39700
30/03/2017,202.940002,204.25,201,203.75,202.510101,38000
31/03/2017,203.559998,207.399994,203.339996,206.020004,204.766296,53900
3/04/2017,206.100006,206.100006,199.080002,199.309998,198.097107,48000
4/04/2017,199.320007,202.649994,199.320007,202.020004,200.790619,40300
5/04/2017,202.449997,202.449997,199.649994,199.669998,198.45491,32600
6/04/2017,199.800003,199.800003,198.100006,198.669998,197.461029,25100
7/04/2017,198.460007,200.360001,198.419998,199.210007,197.997726,51800
10/04/2017,199.460007,205.699997,199.460007,204.339996,203.096497,35300
11/04/2017,204.589996,204.589996,202.729996,203.910004,202.669128,23000
12/04/2017,203.770004,204.009995,200.910004,202.509995,201.277618,19600
13/04/2017,201.770004,204.779999,201.630005,202.179993,200.949646,23800
17/04/2017,203.289993,207.559998,203,207.449997,206.187576,19600
18/04/2017,207.399994,209.919998,205.009995,207.389999,206.127945,27800
19/04/2017,208.509995,209.339996,207.169998,208.229996,206.962814,18700
20/04/2017,208.820007,210.25,207.5,209.820007,208.543182,37300
21/04/2017,209.300003,209.559998,203.419998,204.899994,203.653076,34200
24/04/2017,206.020004,210.889999,206.020004,209.100006,207.82753,31400
25/04/2017,210.679993,214.710007,205.75,207.289993,206.028549,77900
26/04/2017,206.110001,210.179993,205.729996,208.350006,207.332153,34000
27/04/2017,208.619995,211.210007,208.460007,209.919998,208.89447,37400
28/04/2017,210.110001,213.389999,207.490005,211.860001,210.824997,30400
1/05/2017,213.360001,214.539993,208.179993,209.649994,208.625793,38600
2/05/2017,210.610001,213.649994,206.899994,207,205.988739,60400
3/05/2017,206.699997,210.770004,203.5,204.190002,203.192459,51600
4/05/2017,204.699997,205.880005,203.25,205.149994,204.147781,41200
5/05/2017,205.380005,206.380005,203.330002,205.740005,204.734924,31200
8/05/2017,205.740005,206.339996,203.360001,205,203.998535,37800
9/05/2017,204.729996,205.679993,202.050003,203.149994,202.157532,45800
10/05/2017,202.009995,209,195.949997,204.570007,203.570618,91300
11/05/2017,205.089996,206.5,202.740005,203.669998,202.675018,51000
12/05/2017,204.539993,204.539993,198.110001,199.929993,198.953278,39800
15/05/2017,199.850006,202.449997,199.100006,199.300003,198.326355,53600
16/05/2017,199.990005,202,199.139999,200.110001,199.132416,64400
17/05/2017,198.220001,201.639999,197.529999,199.820007,198.843826,68300
18/05/2017,200.169998,203.509995,199.639999,201.559998,200.575317,70300
19/05/2017,201.889999,205.5,200.919998,204.419998,203.421341,45500
22/05/2017,205.470001,216.050003,205.460007,214.419998,213.372498,66100
23/05/2017,215.809998,217.699997,213,215.110001,214.059128,42800
24/05/2017,215.850006,227.229996,215.649994,225.25,224.149567,104400
25/05/2017,226.550003,229.839996,219.539993,223.059998,221.970291,71300
26/05/2017,224.399994,228.699997,222.199997,225.669998,224.567551,46400
30/05/2017,226.020004,228.5,223.550003,227.410004,226.299026,67300
31/05/2017,228.199997,228.199997,225.139999,227.740005,226.627441,84100
1/06/2017,228.479996,231.460007,225.279999,231.210007,230.080475,57100
2/06/2017,232.779999,235.779999,231.220001,231.75,230.617828,47300
5/06/2017,232.940002,232.940002,225.910004,225.910004,224.806366,53000
6/06/2017,225.990005,229.559998,224.029999,226.410004,225.303925,44000
7/06/2017,226.660004,230.419998,225.25,230.110001,228.98584,30100
8/06/2017,230.220001,231.100006,226.029999,228.850006,227.73201,30800
9/06/2017,229.110001,232.380005,225,227.059998,225.950745,28400
12/06/2017,226.520004,229.889999,224,228.639999,227.523026,26600
13/06/2017,229.570007,231.690002,227.940002,231.690002,230.558136,39900
14/06/2017,232,236.520004,231.740005,236.220001,235.06601,25900
15/06/2017,233.979996,240.449997,231.509995,238.869995,237.703064,37700
16/06/2017,237.160004,237.259995,231.279999,234.160004,233.016068,59700
19/06/2017,234.699997,237.850006,234.699997,235.889999,234.73761,21600
20/06/2017,235.669998,235.759995,232.850006,235.380005,234.230103,31800
21/06/2017,234.949997,236.5,232.610001,234.789993,233.64299,19100
22/06/2017,234.830002,235.089996,233.039993,233.050003,231.911499,19800
23/06/2017,233.130005,235.729996,231.639999,235.660004,234.508743,32800
26/06/2017,235.789993,237.580002,232.610001,233.820007,232.677734,39500
27/06/2017,232.729996,232.860001,227.369995,227.369995,226.259216,31000
28/06/2017,228.070007,234.929993,228.070007,233.110001,231.971207,26000
29/06/2017,233.520004,234.210007,229.880005,230.75,229.622726,18200
30/06/2017,232.009995,234.539993,228.440002,228.869995,227.751892,19200
3/07/2017,229.080002,229.960007,223.509995,224.259995,223.164413,12500
5/07/2017,224.259995,225.330002,221.449997,224.880005,223.781418,29400
6/07/2017,222.779999,226.139999,220.809998,224.539993,223.443039,25100
7/07/2017,225.550003,229.699997,225.119995,226.960007,225.851227,23900
10/07/2017,228.970001,229.479996,225.220001,226.559998,225.453186,49100
11/07/2017,225.960007,229.770004,225.960007,227.490005,226.378647,43800
12/07/2017,228.679993,232.309998,228.5,232.309998,231.17511,32800
13/07/2017,232.210007,232.210007,225.759995,229.839996,228.717163,28900
14/07/2017,229.479996,236,229.479996,235.550003,234.399261,34000
17/07/2017,235,239.5,232.520004,236.820007,235.663071,51100
18/07/2017,236.649994,238.949997,234.119995,234.149994,233.006088,41000
19/07/2017,234.149994,238.830002,234.149994,236.399994,235.245117,37600
20/07/2017,238.029999,242.729996,236.419998,241.800003,240.618744,36300
21/07/2017,243.220001,244.669998,239.850006,240.860001,239.683319,29700
24/07/2017,241.860001,241.860001,237.5,238.330002,237.165695,33800
25/07/2017,239.479996,239.699997,237,238.089996,236.926865,15300
26/07/2017,239.389999,242.190002,238.669998,241.869995,240.941376,22300
27/07/2017,242.529999,249.539993,242.529999,244.039993,243.103043,36500
28/07/2017,243.610001,245.5,239.559998,240.539993,239.616486,21200
31/07/2017,241.570007,244.539993,239.190002,240.089996,239.168198,23700
